                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4548,                 3.7973,                 1.7426,                0.56374,                   0.85,                0.87819,                0.63507,                 1.6597,                   1.08,                 1.3848,                      0,                      0,                      0
                      2,                 1.0338,                 2.8044,                 1.2146,                0.55928,                   0.85,                0.88852,                0.63686,                 1.6705,                 1.0722,                 1.3851,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.2983,                 3.1907,                 1.5538,                0.55986,                   0.85,                0.85403,                0.65266,                 1.6767,                 1.0601,                 1.3837,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2124,                 3.0831,                 1.5095,                0.53668,                   0.85,                0.85551,                0.63838,                  1.682,                 1.0605,                 1.3872,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0797,                 2.7697,                 1.4257,                0.52574,                   0.85,                0.85551,                0.63845,                 1.6973,                  1.067,                 1.3926,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.1354,                 2.6518,                 1.4626,                0.81321,                0.64463,                0.85619,                0.63025,                 1.7006,                 1.0765,                 1.3924,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.7805,                 3.0881,                 2.0913,                0.61827,                0.92304,                0.90687,                0.63304,                 1.6919,                 1.0766,                 1.3779,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.93928,                 2.4391,                 1.1117,                  0.569,                0.85696,                0.86062,                0.63024,                 1.6744,                 1.0656,                 1.3667,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1374,                 2.5613,                 1.4177,                0.58226,                0.86602,                0.85926,                0.62986,                 1.6643,                  1.063,                 1.3617,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.94119,                 2.3153,                 1.4709,                 0.7748,                   0.65,                0.89613,                0.63305,                 1.6592,                   1.07,                 1.3583,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.2331,                 2.6152,                 1.6919,                0.54586,                0.86667,                0.89583,                0.63282,                 1.6496,                 1.0658,                 1.3528,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.2825,                 2.4974,                 1.3865,                0.57291,                0.86667,                 0.8963,                0.63445,                 1.6306,                 1.0666,                 1.3439,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.4868,                  3.619,                 1.7555,                 0.6539,                0.77361,                0.91125,                0.64609,                 1.5967,                 1.0781,                   1.33,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2495,                 1.9951,                 1.5866,                0.65514,                0.77167,                0.91188,                0.65228,                 1.6011,                 1.0871,                 1.3323,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.89459,                 2.2444,                 1.2536,                0.65148,                0.77154,                0.91156,                0.65223,                 1.5998,                 1.0965,                 1.3338,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 0.9749,                 1.8362,                 1.1906,                0.64954,                0.76826,                0.91163,                0.65206,                 1.6021,                  1.101,                 1.3368,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.94713,                 3.0206,                 1.3957,                0.65427,                0.76674,                0.91358,                0.65381,                 1.6019,                 1.1064,                 1.3346,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                  1.199,                 3.2811,                 1.8245,                0.65427,                0.76674,                0.91358,                0.65381,                 1.6019,                 1.1064,                 1.3346,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                  0.683,                 1.6021,                 1.2841,                0.82854,                   0.65,                0.85874,                0.64407,                  1.612,                 1.1309,                   1.34,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.89352,                 1.8462,                 1.2788,                0.82854,                   0.65,                0.85874,                0.64407,                  1.612,                 1.1309,                   1.34,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.1216,                 1.9418,                 1.5559,                0.65318,                0.78333,                0.91418,                0.63632,                 1.5953,                  1.136,                 1.3352,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.1075,                 2.2225,                 1.4348,                0.65318,                0.78333,                0.91418,                0.63632,                 1.5953,                  1.136,                 1.3352,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.81441,                  1.311,                 1.2709,                0.82644,                   0.65,                0.91422,                0.63404,                  1.594,                 1.1624,                 1.3302,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.95822,                 1.6765,                 1.2182,                0.82644,                   0.65,                0.91422,                0.63404,                  1.594,                 1.1624,                 1.3302,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.49677,                 1.3584,                 1.0897,                0.79506,                   0.65,                0.85879,                 0.6182,                  1.622,                  1.172,                  1.357,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.60744,                 1.0043,                 1.0472,                0.79506,                   0.65,                0.85879,                 0.6182,                  1.622,                  1.172,                  1.357,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.2772,                 2.6933,                 1.7201,                0.79337,                   0.65,                0.85787,                0.61641,                 1.6217,                  1.191,                 1.3582,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.73521,                 2.5239,                 1.3001,                0.79337,                   0.65,                0.85787,                0.61641,                 1.6217,                  1.191,                 1.3582,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.75431,                 1.7341,                 1.2156,                0.76987,                   0.65,                0.85577,                0.61406,                 1.6411,                 1.2091,                 1.3655,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.95366,                 1.9075,                  1.409,                0.76987,                   0.65,                0.85577,                0.61406,                 1.6411,                 1.2091,                 1.3655,             2.4602e-05,             2.4602e-05,             2.4602e-05
